Round,Train Loss,Accuracy
0,2.31,12.15
1,2.32,13.63
2,2.32,18.4
3,2.28,18.27
4,2.25,22.11
5,2.23,25.48
6,2.24,31.51
7,2.19,34.73
8,2.16,31.29
9,2.12,41.78
10,0.83,81.13
11,0.73,65.63
12,0.92,62.88
13,1.15,61.29
14,1.0,69.22
15,0.87,74.78
16,0.83,49.83
17,1.56,48.3
18,1.51,44.56
19,1.91,58.17
20,0.84,68.83
21,0.89,73.6
22,0.73,83.86
23,0.56,83.28
24,0.56,85.97
25,0.45,85.37
26,0.57,82.77
27,0.57,83.74
28,0.51,84.1
29,0.59,84.27
30,0.38,86.9
31,0.37,87.01
32,0.35,85.71
33,0.41,85.6
34,0.43,87.26
35,0.43,89.06
36,0.38,88.56
37,0.39,88.02
38,0.37,87.81
39,0.31,88.54
40,0.27,89.63
41,0.33,89.34
42,0.39,88.83
43,0.33,89.14
44,0.29,87.79
45,0.27,87.46
46,0.43,87.3
47,0.43,89.05
48,0.5,85.08
49,0.33,87.2
50,0.34,88.28
51,0.39,88.61
52,0.3,87.38
53,0.35,79.98
54,0.68,75.78
55,0.83,74.19
56,0.78,71.1
57,0.83,82.44
58,0.56,82.27
59,0.47,83.09
60,0.45,87.63
61,0.39,87.74
62,0.5,87.67
63,0.43,87.5
64,0.46,84.69
65,0.36,88.36
66,0.34,89.23
67,0.33,89.29
68,0.35,88.17
69,0.27,88.95
70,0.29,87.64
71,0.29,89.24
72,0.28,85.55
73,0.41,85.04
74,0.53,86.05
75,0.47,86.67
76,0.29,85.86
77,0.42,88.79
78,0.4,89.18
79,0.28,88.39
80,0.43,89.37
81,0.26,88.8
82,0.41,88.3
83,0.27,86.1
84,0.57,81.16
85,0.67,85.43
86,0.52,85.5
87,0.48,78.71
88,0.6,70.01
89,1.0,59.12
90,0.65,85.99
91,0.38,85.99
92,0.39,88.13
93,0.39,88.09
94,0.33,86.6
95,0.41,87.29
96,0.29,86.5
97,0.26,88.62
98,0.36,86.81
99,0.48,87.62
100,0.24,87.54
101,0.39,85.71
102,0.43,87.99
103,0.34,86.62
104,0.31,89.34
105,0.31,88.61
106,0.34,88.77
107,0.27,88.98
108,0.32,85.89
109,0.42,88.82
110,0.32,88.48
111,0.37,88.52
112,0.35,83.96
113,0.53,81.19
114,0.49,84.18
115,0.47,87.19
116,0.46,82.16
117,0.57,81.73
118,0.59,83.47
119,0.46,84.95
120,0.29,87.7
121,0.4,88.43
122,0.4,88.36
123,0.49,85.33
124,0.46,85.99
125,0.41,88.53
126,0.31,85.85
127,0.61,88.01
128,0.36,85.86
129,0.51,87.02
130,0.37,87.57
131,0.47,87.45
132,0.41,85.77
133,0.43,86.18
134,0.46,87.5
135,0.36,87.8
136,0.43,89.24
137,0.36,87.19
138,0.33,87.39
139,0.36,87.44
140,0.29,87.73
141,0.36,86.23
142,0.39,87.89
143,0.31,88.96
144,0.26,88.55
145,0.31,88.47
146,0.36,88.99
147,0.25,88.84
148,0.34,88.43
149,0.36,89.34
150,0.35,89.32
151,0.27,88.69
152,0.24,89.52
153,0.31,87.63
154,0.42,86.7
155,0.42,86.79
156,0.33,86.96
157,0.4,86.13
158,0.33,87.88
159,0.28,87.29
160,0.28,88.21
161,0.26,89.08
162,0.32,88.86
163,0.36,87.37
164,0.34,89.19
165,0.37,88.58
166,0.4,88.88
167,0.36,88.19
168,0.34,87.54
169,0.3,88.85
170,0.4,88.38
171,0.31,88.21
172,0.37,88.52
173,0.4,87.47
174,0.43,84.77
175,0.39,88.43
176,0.32,87.81
177,0.4,87.42
178,0.44,84.02
179,0.6,85.64
180,0.33,87.44
181,0.31,87.13
182,0.38,87.87
183,0.4,89.02
184,0.31,88.53
185,0.35,88.79
186,0.42,87.4
187,0.35,88.78
188,0.41,87.93
189,0.26,88.31
190,0.37,87.81
191,0.33,88.59
192,0.37,83.83
193,0.52,88.51
194,0.44,85.66
195,0.43,85.56
196,0.36,85.98
197,0.38,86.01
198,0.39,84.44
199,0.46,82.87
200,0.31,88.34
201,0.37,88.52
202,0.27,88.85
203,0.32,88.92
204,0.4,87.15
205,0.28,88.93
206,0.56,88.15
207,0.33,88.65
208,0.26,88.44
209,0.49,89.07
210,0.38,89.16
211,0.26,88.32
212,0.27,88.97
213,0.27,89.28
214,0.33,86.16
215,0.55,84.39
216,0.49,86.19
217,0.43,88.51
218,0.29,86.83
219,0.39,88.9
220,0.32,88.97
221,0.23,87.6
222,0.33,88.85
223,0.24,88.55
224,0.43,86.69
225,0.42,89.52
226,0.38,88.85
227,0.32,88.05
228,0.42,88.31
229,0.3,88.91
230,0.33,87.4
231,0.46,81.95
232,0.41,87.92
233,0.4,86.06
234,0.31,88.02
235,0.4,89.0
236,0.43,88.67
237,0.47,89.25
238,0.28,88.98
239,0.25,89.31
240,0.36,87.34
241,0.43,83.51
242,0.42,84.97
243,0.48,84.49
244,0.4,83.67
245,0.4,88.76
246,0.25,86.64
247,0.49,88.16
248,0.32,88.64
249,0.4,86.24
