Round,Train Loss,Accuracy
0,2.32,12.69
1,2.3,14.96
2,2.3,17.76
3,2.31,17.72
4,2.28,17.75
5,2.28,19.65
6,2.26,22.98
7,2.24,29.79
8,2.24,30.82
9,2.22,29.88
10,2.21,38.4
11,2.17,41.66
12,2.14,39.0
13,2.13,31.42
14,2.11,42.5
15,2.08,43.54
16,2.01,27.57
17,2.03,41.8
18,1.96,43.7
19,1.92,46.43
20,1.86,46.11
21,1.82,40.35
22,1.77,42.5
23,1.72,43.16
24,1.74,41.14
25,1.79,36.8
26,1.8,38.39
27,1.76,53.23
28,1.54,53.63
29,1.51,50.73
30,1.54,43.93
31,1.56,40.69
32,1.67,41.69
33,1.68,43.92
34,1.6,60.01
35,1.29,50.6
36,1.45,58.38
37,1.28,61.07
38,1.18,65.42
39,1.15,65.69
40,1.1,66.72
41,1.06,66.85
42,1.04,65.99
43,1.0,69.99
44,1.01,62.27
45,0.99,53.38
46,1.15,45.6
47,1.77,38.2
48,1.89,33.85
49,2.2,38.23
50,1.79,44.97
51,1.49,52.71
52,1.37,53.37
53,1.27,58.58
54,1.09,68.0
55,1.0,67.88
56,0.92,72.22
57,0.9,75.71
58,0.83,73.26
59,0.83,75.32
60,0.83,73.01
61,0.89,70.73
62,0.8,73.62
63,0.75,75.37
64,0.8,70.65
65,0.81,70.13
66,0.88,71.58
67,0.82,72.76
68,0.69,73.26
69,0.74,76.93
70,0.7,71.28
71,0.8,70.85
72,0.77,74.56
73,0.77,76.41
74,0.67,79.26
75,0.68,69.96
76,0.78,73.92
77,0.77,79.51
78,0.62,78.07
79,0.56,80.43
80,0.6,78.56
81,0.63,72.79
82,0.71,78.18
83,0.57,79.38
84,0.67,76.5
85,0.61,78.74
86,0.69,73.88
87,0.72,76.73
88,0.66,80.7
89,0.6,81.55
90,0.52,81.18
91,0.52,82.5
92,0.56,83.5
93,0.59,81.11
94,0.58,82.3
95,0.48,80.84
96,0.58,80.02
97,0.59,77.09
98,0.63,76.89
99,0.61,82.42
100,0.47,83.59
101,0.52,83.44
102,0.49,82.88
103,0.48,82.03
104,0.58,84.03
105,0.54,82.36
106,0.55,78.98
107,0.59,80.97
108,0.52,81.45
109,0.59,81.08
110,0.63,83.22
111,0.48,83.64
112,0.5,82.02
113,0.49,81.24
114,0.45,82.8
115,0.53,81.75
116,0.6,85.55
117,0.47,83.97
118,0.62,83.39
119,0.49,83.07
120,0.59,83.78
121,0.44,83.91
122,0.47,84.61
123,0.49,82.95
124,0.49,82.94
125,0.51,83.36
126,0.53,84.45
127,0.56,84.87
128,0.48,86.18
129,0.49,85.46
130,0.46,85.71
131,0.42,85.78
132,0.43,81.78
133,0.6,79.1
134,0.61,82.77
135,0.51,83.08
136,0.52,85.27
137,0.44,85.33
138,0.5,84.19
139,0.48,85.19
140,0.44,86.22
141,0.38,84.26
142,0.46,85.15
143,0.49,85.78
144,0.56,85.23
145,0.45,87.14
146,0.44,85.93
147,0.5,83.85
148,0.5,87.12
149,0.43,86.51
150,0.39,86.78
151,0.41,87.24
152,0.39,87.93
153,0.46,84.74
154,0.46,86.41
155,0.39,87.15
156,0.49,85.05
157,0.42,85.25
158,0.48,87.54
159,0.38,86.55
160,0.47,86.52
161,0.39,87.61
162,0.44,87.64
163,0.39,86.28
164,0.48,87.01
165,0.39,87.26
166,0.36,88.29
167,0.41,86.32
168,0.52,86.05
169,0.4,87.46
170,0.42,86.49
171,0.4,83.44
172,0.45,85.4
173,0.47,86.15
174,0.51,86.47
175,0.42,88.12
176,0.44,87.75
177,0.47,87.04
178,0.47,84.54
179,0.5,86.84
180,0.39,88.26
181,0.39,88.14
182,0.35,87.3
183,0.45,85.25
184,0.47,87.92
185,0.35,88.55
186,0.3,88.32
187,0.37,85.85
188,0.44,85.35
189,0.52,88.35
190,0.37,86.69
191,0.43,87.13
192,0.4,86.34
193,0.39,88.07
194,0.46,87.94
195,0.46,86.42
196,0.39,86.48
197,0.47,87.99
198,0.42,87.97
199,0.37,88.93
200,0.36,88.57
201,0.39,88.18
202,0.37,88.92
203,0.34,88.85
204,0.38,87.3
205,0.45,87.58
206,0.41,89.05
207,0.29,89.26
208,0.38,89.33
209,0.37,88.16
210,0.41,85.62
211,0.32,89.05
212,0.32,86.1
213,0.41,85.95
214,0.39,86.26
215,0.45,87.38
216,0.45,89.01
217,0.34,89.2
218,0.36,89.31
219,0.33,88.31
220,0.37,89.19
221,0.41,88.64
222,0.39,89.04
223,0.37,88.65
224,0.36,89.3
225,0.33,88.77
226,0.32,89.13
227,0.36,89.7
228,0.38,89.17
229,0.32,89.8
230,0.31,89.03
231,0.36,88.97
232,0.35,88.25
233,0.37,88.73
234,0.37,89.23
235,0.35,88.26
236,0.36,89.52
237,0.3,88.54
238,0.33,88.63
239,0.36,89.12
240,0.35,88.13
241,0.34,86.6
242,0.39,87.97
243,0.39,88.59
244,0.38,89.5
245,0.3,88.59
246,0.33,88.99
247,0.28,89.03
248,0.33,88.04
249,0.42,89.41
