Round,Train Loss,Accuracy
0,1.74,10.02
1,1.72,9.01
2,1.69,8.75
3,1.68,9.04
4,1.66,9.19
5,1.64,9.43
6,1.63,11.26
7,1.62,12.31
8,1.61,12.23
9,1.6,12.47
10,1.59,13.73
11,1.57,15.55
12,1.56,16.61
13,1.56,16.97
14,1.55,17.36
15,1.54,17.78
16,1.53,18.2
17,1.52,18.77
18,1.51,18.9
19,1.5,19.38
20,1.49,19.74
21,1.48,20.21
22,1.48,20.4
23,1.47,20.86
24,1.46,21.1
25,1.45,21.94
26,1.45,22.2
27,1.44,22.36
28,1.43,22.79
29,1.42,22.98
30,1.41,23.2
31,1.41,23.39
32,1.4,23.28
33,1.39,23.6
34,1.39,23.94
35,1.38,24.17
36,1.38,24.46
37,1.37,24.6
38,1.37,24.57
39,1.36,24.77
40,1.35,25.03
41,1.35,25.26
42,1.34,25.14
43,1.34,24.97
44,1.33,25.42
45,1.33,25.3
46,1.32,25.39
47,1.32,25.37
48,1.31,25.24
49,1.31,25.67
50,1.3,25.56
51,1.3,25.52
52,1.29,25.59
53,1.29,25.61
54,1.29,25.72
55,1.28,25.74
56,1.28,25.85
57,1.28,25.84
58,1.27,25.9
59,1.27,25.88
60,1.27,25.89
61,1.26,25.82
62,1.26,25.78
63,1.26,25.7
64,1.25,25.73
65,1.25,25.93
66,1.25,26.03
67,1.24,26.02
68,1.24,25.93
69,1.24,25.94
70,1.24,25.94
71,1.23,25.98
72,1.23,25.96
73,1.23,25.87
74,1.23,25.89
75,1.22,26.0
76,1.22,25.81
77,1.22,26.13
78,1.22,25.96
79,1.21,25.98
80,1.21,26.01
81,1.21,26.1
82,1.2,26.07
83,1.2,26.2
84,1.2,26.16
85,1.2,25.95
86,1.2,26.2
87,1.19,26.09
88,1.19,26.22
89,1.19,26.29
90,1.18,26.26
91,1.19,26.31
92,1.18,26.36
93,1.18,26.45
94,1.18,26.28
95,1.18,26.45
96,1.17,26.55
97,1.17,26.42
98,1.17,26.31
99,1.17,26.46
100,1.16,26.47
101,1.16,26.43
102,1.16,26.64
103,1.15,26.34
104,1.16,26.74
105,1.15,26.81
106,1.15,26.77
107,1.15,26.74
108,1.15,26.8
109,1.14,26.76
110,1.14,26.85
111,1.14,26.83
112,1.14,26.79
113,1.13,26.84
114,1.13,26.98
115,1.13,27.09
116,1.13,27.24
117,1.13,27.04
118,1.12,27.07
119,1.12,27.0
120,1.12,27.08
121,1.12,27.19
122,1.12,27.2
123,1.11,27.16
124,1.11,27.1
125,1.11,27.21
126,1.11,27.29
127,1.1,27.22
128,1.1,27.22
129,1.1,27.21
130,1.1,27.44
131,1.09,27.53
132,1.09,27.77
133,1.09,27.5
134,1.08,27.71
135,1.08,27.52
136,1.08,27.63
137,1.08,27.68
138,1.08,27.7
139,1.07,27.62
140,1.07,27.6
141,1.07,27.55
142,1.07,27.72
143,1.06,27.61
144,1.06,27.57
145,1.06,27.67
146,1.06,27.79
147,1.05,27.74
148,1.05,27.71
149,1.05,27.71
150,1.05,27.83
151,1.04,27.87
152,1.04,27.71
153,1.04,27.88
154,1.04,27.89
155,1.04,28.18
156,1.03,28.1
157,1.03,27.97
158,1.03,27.98
159,1.03,28.06
160,1.02,28.3
161,1.02,28.14
162,1.02,28.21
163,1.02,28.4
164,1.01,28.15
165,1.01,28.27
166,1.01,28.13
167,1.0,28.26
168,1.0,28.56
169,1.0,28.58
170,1.0,28.35
171,1.0,28.4
172,0.99,28.47
173,0.99,28.53
174,0.99,28.46
175,0.99,28.44
176,0.99,28.59
177,0.98,28.67
178,0.98,28.58
179,0.98,28.58
180,0.98,28.61
181,0.97,28.65
182,0.97,28.59
183,0.97,28.56
184,0.97,28.62
185,0.96,28.64
186,0.96,28.55
187,0.96,28.73
188,0.96,28.79
189,0.95,28.7
190,0.95,28.39
191,0.95,28.66
192,0.95,28.89
193,0.94,28.75
194,0.94,28.67
195,0.94,28.55
196,0.94,28.67
197,0.93,28.37
198,0.93,28.42
199,0.93,28.62
