Round,Train Loss,Accuracy
0,1.22,10.03
1,1.08,10.08
2,1.0,10.11
3,0.97,10.0
4,0.95,10.0
5,0.93,9.99
6,0.9,9.98
7,0.91,10.07
8,0.9,10.55
9,0.9,10.73
10,0.89,11.75
11,0.9,13.64
12,0.88,13.09
13,0.88,15.41
14,0.87,17.19
15,0.87,17.86
16,0.85,18.06
17,0.84,19.32
18,0.83,19.89
19,0.83,20.26
20,0.83,21.68
21,0.8,22.1
22,0.8,22.38
23,0.8,22.89
24,0.78,23.69
25,0.78,23.7
26,0.77,24.95
27,0.75,25.35
28,0.75,25.59
29,0.74,26.73
30,0.74,27.18
31,0.73,27.56
32,0.7,27.33
33,0.72,27.91
34,0.71,28.37
35,0.7,28.73
36,0.72,29.73
37,0.7,29.52
38,0.7,29.69
39,0.69,29.2
40,0.68,30.07
41,0.69,30.19
42,0.69,30.69
43,0.67,30.36
44,0.66,30.95
45,0.67,31.08
46,0.66,31.33
47,0.66,31.75
48,0.66,31.26
49,0.66,31.32
50,0.65,31.96
51,0.65,32.38
52,0.64,32.2
53,0.64,32.33
54,0.64,32.58
55,0.64,31.99
56,0.63,32.25
57,0.63,32.68
58,0.64,33.07
59,0.63,32.86
60,0.63,32.7
61,0.63,32.82
62,0.62,32.92
63,0.62,33.09
64,0.62,33.2
65,0.62,33.67
66,0.62,33.39
67,0.63,33.82
68,0.62,33.76
69,0.61,33.52
70,0.61,33.98
71,0.6,34.02
72,0.63,33.83
73,0.62,34.31
74,0.61,33.94
75,0.6,34.03
76,0.61,34.28
77,0.6,34.11
78,0.59,34.77
79,0.59,34.18
80,0.6,34.13
81,0.6,34.37
82,0.62,35.05
83,0.6,34.82
84,0.6,34.97
85,0.61,34.93
86,0.59,34.49
87,0.6,34.78
88,0.57,34.93
89,0.58,35.22
90,0.57,34.95
91,0.57,35.13
92,0.58,35.41
93,0.59,35.34
94,0.59,35.42
95,0.58,35.33
96,0.58,35.61
97,0.56,35.91
98,0.58,35.68
99,0.58,35.94
100,0.57,35.83
101,0.56,36.06
102,0.56,36.3
103,0.57,36.13
104,0.57,36.28
105,0.57,36.36
106,0.55,36.34
107,0.55,36.22
108,0.55,36.31
109,0.55,36.77
110,0.55,36.25
111,0.55,36.62
112,0.54,36.64
113,0.53,36.84
114,0.53,36.76
115,0.54,36.58
116,0.53,36.78
117,0.53,37.14
118,0.57,37.16
119,0.54,37.25
120,0.53,37.06
121,0.54,37.02
122,0.54,37.45
123,0.52,37.36
124,0.52,37.41
125,0.54,37.56
126,0.52,37.53
127,0.52,37.72
128,0.52,37.63
129,0.52,37.42
130,0.53,37.44
131,0.51,37.59
132,0.52,37.36
133,0.51,37.89
134,0.5,37.97
135,0.53,37.65
136,0.52,37.73
137,0.51,37.79
138,0.5,37.88
139,0.5,38.33
140,0.48,38.29
141,0.5,38.05
142,0.51,38.37
143,0.49,38.31
144,0.49,38.54
145,0.48,38.56
146,0.49,38.66
147,0.49,38.38
148,0.47,38.49
149,0.49,38.58
150,0.48,38.87
151,0.49,38.85
152,0.5,38.77
153,0.48,38.65
154,0.48,38.76
155,0.46,38.91
156,0.46,38.83
157,0.46,38.77
158,0.47,38.9
159,0.46,39.05
160,0.46,38.94
161,0.48,39.3
162,0.46,39.3
163,0.46,39.18
164,0.46,39.41
165,0.47,39.19
166,0.46,39.16
167,0.46,39.09
168,0.45,39.14
169,0.46,39.3
170,0.46,39.4
171,0.48,39.41
172,0.44,39.19
173,0.45,39.27
174,0.46,39.55
175,0.44,39.46
176,0.44,39.49
177,0.45,39.33
178,0.44,39.45
179,0.43,39.69
180,0.48,39.69
181,0.44,39.56
182,0.45,39.55
183,0.43,39.75
184,0.43,39.87
185,0.43,39.51
186,0.43,39.81
187,0.45,39.78
188,0.42,39.63
189,0.44,39.61
190,0.43,39.71
191,0.43,39.65
192,0.44,39.49
193,0.42,39.65
194,0.43,39.84
195,0.42,39.69
196,0.43,39.6
197,0.41,39.5
198,0.42,39.79
199,0.41,39.55
