Round,Train Loss,Accuracy
0,1.76,10.0
1,1.74,10.0
2,1.71,13.82
3,1.68,10.26
4,1.66,10.01
5,1.64,10.01
6,1.63,10.08
7,1.62,10.65
8,1.61,11.75
9,1.59,13.49
10,1.57,14.78
11,1.55,15.18
12,1.54,15.28
13,1.53,15.81
14,1.52,17.03
15,1.51,17.83
16,1.49,17.64
17,1.48,18.2
18,1.47,19.31
19,1.46,19.69
20,1.44,19.74
21,1.43,20.6
22,1.41,20.66
23,1.39,21.34
24,1.37,21.46
25,1.39,21.97
26,1.36,22.65
27,1.35,22.99
28,1.34,23.27
29,1.33,23.64
30,1.3,24.1
31,1.29,24.59
32,1.28,24.67
33,1.28,25.34
34,1.26,25.81
35,1.25,25.98
36,1.24,26.48
37,1.24,27.03
38,1.21,27.13
39,1.21,27.27
40,1.21,27.68
41,1.2,27.58
42,1.19,27.69
43,1.17,28.39
44,1.16,28.66
45,1.16,29.12
46,1.16,29.11
47,1.15,29.37
48,1.14,29.73
49,1.14,29.44
50,1.12,30.19
51,1.11,30.27
52,1.1,30.3
53,1.09,30.18
54,1.1,30.69
55,1.1,31.05
56,1.09,31.16
57,1.09,31.1
58,1.08,31.3
59,1.08,31.77
60,1.06,31.86
61,1.07,31.73
62,1.06,32.05
63,1.05,32.43
64,1.04,32.55
65,1.04,32.52
66,1.05,32.35
67,1.05,32.79
68,1.03,32.99
69,1.04,33.0
70,1.03,33.04
71,1.03,33.02
72,0.99,33.46
73,1.01,33.43
74,1.0,33.6
75,0.99,33.61
76,1.0,33.71
77,1.0,33.52
78,0.98,33.86
79,0.99,34.08
80,0.99,33.88
81,0.97,33.83
82,0.97,34.29
83,0.97,34.15
84,0.96,34.15
85,0.95,34.33
86,0.95,34.29
87,0.95,34.54
88,0.95,34.45
89,0.94,34.55
90,0.94,34.57
91,0.93,34.81
92,0.92,34.89
93,0.93,34.92
94,0.91,34.89
95,0.92,34.86
96,0.9,35.05
97,0.91,34.73
98,0.91,35.02
99,0.9,34.83
100,0.89,35.07
101,0.89,35.33
102,0.89,35.14
103,0.88,35.23
104,0.88,35.37
105,0.86,35.18
106,0.86,35.32
107,0.85,35.69
108,0.87,35.72
109,0.85,36.01
110,0.84,35.92
111,0.83,36.16
112,0.84,36.02
113,0.84,36.38
114,0.83,35.9
115,0.83,36.32
116,0.82,36.01
117,0.82,36.26
118,0.8,36.37
119,0.8,36.23
120,0.8,36.25
121,0.79,36.51
122,0.8,36.17
123,0.8,36.65
124,0.78,36.79
125,0.79,36.8
126,0.78,36.83
127,0.78,36.93
128,0.76,36.78
129,0.76,36.86
130,0.74,37.1
131,0.76,37.15
132,0.74,37.28
133,0.74,37.33
134,0.73,37.32
135,0.75,37.41
136,0.73,37.46
137,0.73,37.38
138,0.73,37.61
139,0.71,37.46
140,0.72,37.42
141,0.69,37.6
142,0.69,37.78
143,0.69,37.66
144,0.7,37.58
145,0.71,37.65
146,0.69,38.01
147,0.68,37.71
148,0.68,37.91
149,0.67,38.15
150,0.68,37.99
151,0.68,38.23
152,0.68,38.07
153,0.66,38.32
154,0.67,38.23
155,0.65,37.99
156,0.63,38.12
157,0.65,38.04
158,0.64,38.23
159,0.64,38.32
160,0.63,38.41
161,0.64,38.25
162,0.62,38.43
163,0.64,38.55
164,0.62,38.83
165,0.63,38.83
166,0.6,38.43
167,0.61,38.56
168,0.61,38.68
169,0.59,38.48
170,0.6,38.59
171,0.61,38.63
172,0.6,39.06
173,0.58,38.9
174,0.58,38.9
175,0.59,38.83
176,0.58,39.14
177,0.57,38.93
178,0.56,39.01
179,0.58,39.08
180,0.57,39.34
181,0.55,39.15
182,0.57,38.96
183,0.54,39.18
184,0.53,39.2
185,0.54,39.46
186,0.51,39.58
187,0.54,39.51
188,0.54,39.74
189,0.54,40.0
190,0.53,39.73
191,0.52,39.42
192,0.51,39.39
193,0.51,39.59
194,0.5,39.52
195,0.51,39.98
196,0.5,39.63
197,0.5,39.88
198,0.48,39.9
199,0.48,39.58
