Round,Train Loss,Accuracy
0,1.6,10.0
1,1.59,9.99
2,1.58,10.2
3,1.58,10.34
4,1.57,10.39
5,1.57,10.63
6,1.56,11.95
7,1.56,10.57
8,1.56,10.04
9,1.56,10.0
10,1.56,10.0
11,1.56,10.0
12,1.56,10.0
13,1.56,10.0
14,1.56,10.0
15,1.56,10.0
16,1.57,10.0
17,1.57,10.0
18,1.58,10.0
19,1.58,10.0
20,1.59,10.0
21,1.6,10.0
22,1.61,10.0
23,1.62,10.0
24,1.63,10.0
25,1.64,10.0
26,1.65,10.0
27,1.66,10.0
28,1.68,10.0
29,1.69,10.0
30,1.7,10.0
31,1.71,10.0
32,1.72,10.0
33,1.72,10.0
34,1.73,10.0
35,1.74,10.0
36,1.74,10.0
37,1.75,10.0
38,1.75,10.0
39,1.76,10.0
40,1.76,10.0
41,1.77,10.0
42,1.77,10.0
43,1.77,10.0
44,1.77,10.0
45,1.77,10.0
46,1.77,10.0
47,1.77,10.0
48,1.77,10.0
49,1.78,10.0
50,1.78,10.0
51,1.78,10.0
52,1.78,10.0
53,1.78,10.0
54,1.78,10.0
55,1.78,10.0
56,1.78,10.0
57,1.78,10.0
58,1.78,10.0
59,1.77,10.0
60,1.77,10.0
61,1.77,10.0
62,1.77,10.0
63,1.77,10.0
64,1.76,10.0
65,1.76,10.0
66,1.76,10.0
67,1.76,10.0
68,1.76,10.0
69,1.76,10.0
70,1.76,10.0
71,1.75,10.0
72,1.75,10.0
73,1.75,10.0
74,1.75,10.0
75,1.75,10.0
76,1.74,10.0
77,1.74,10.0
78,1.74,10.0
79,1.74,10.0
80,1.74,10.0
81,1.74,10.0
82,1.74,10.0
83,1.73,10.0
84,1.73,10.0
85,1.73,10.0
86,1.73,10.0
87,1.73,10.0
88,1.72,10.0
89,1.72,10.0
90,1.72,10.0
91,1.71,10.0
92,1.71,10.0
93,1.71,10.0
94,1.71,10.0
95,1.7,10.0
96,1.7,10.0
97,1.7,10.0
98,1.7,10.0
99,1.7,10.0
100,1.69,10.0
101,1.69,10.0
102,1.69,10.0
103,1.68,10.0
104,1.68,10.0
105,1.68,10.0
106,1.67,10.0
107,1.67,10.0
108,1.67,10.0
109,1.66,10.0
110,1.66,10.0
111,1.65,10.0
112,1.65,10.0
113,1.65,10.0
114,1.64,10.0
115,1.64,10.0
116,1.64,10.0
117,1.64,10.0
118,1.63,10.0
119,1.63,10.0
120,1.63,10.0
121,1.62,10.0
122,1.62,10.0
123,1.62,10.0
124,1.61,10.0
125,1.61,10.0
126,1.61,10.0
127,1.6,10.0
128,1.6,10.0
129,1.59,10.0
130,1.59,10.0
131,1.59,10.0
132,1.58,10.0
133,1.58,10.0
134,1.58,10.0
135,1.57,10.0
136,1.57,10.0
137,1.56,10.0
138,1.56,10.0
139,1.55,10.0
140,1.55,10.0
141,1.55,10.0
142,1.54,10.0
143,1.54,10.0
144,1.54,10.0
145,1.53,10.0
146,1.52,10.0
147,1.52,10.0
148,1.52,10.0
149,1.51,10.0
150,1.51,10.0
151,1.51,10.0
152,1.5,10.0
153,1.5,10.0
154,1.5,10.0
155,1.5,10.0
156,1.49,10.0
157,1.49,10.0
158,1.49,10.0
159,1.48,10.0
160,1.48,10.0
161,1.47,10.0
162,1.47,10.0
163,1.47,10.0
164,1.46,10.0
165,1.46,10.0
166,1.46,10.0
167,1.45,10.0
168,1.45,10.0
169,1.45,10.0
170,1.44,10.0
171,1.44,10.0
172,1.44,10.0
173,1.44,10.0
174,1.43,10.0
175,1.43,10.0
176,1.42,10.0
177,1.42,10.0
178,1.42,10.01
179,1.41,10.01
180,1.41,10.01
181,1.41,10.01
182,1.4,10.01
183,1.4,10.01
184,1.39,10.01
185,1.39,10.01
186,1.38,10.01
187,1.38,10.01
188,1.38,10.04
189,1.38,10.04
190,1.37,10.05
191,1.37,10.07
192,1.37,10.08
193,1.37,10.12
194,1.36,10.15
195,1.36,10.16
196,1.36,10.16
197,1.36,10.18
198,1.35,10.21
199,1.35,10.21
