Round,Train Loss,Accuracy
0,1.46,9.2
1,1.32,10.01
2,1.24,10.0
3,1.19,12.69
4,1.15,14.51
5,1.11,15.26
6,1.1,16.2
7,1.07,17.81
8,1.04,19.39
9,1.01,20.45
10,0.99,22.07
11,0.96,23.57
12,0.94,24.13
13,0.92,25.46
14,0.9,26.66
15,0.88,27.57
16,0.87,28.64
17,0.85,29.31
18,0.84,30.1
19,0.83,31.03
20,0.82,31.51
21,0.8,31.78
22,0.8,32.39
23,0.78,32.89
24,0.78,33.2
25,0.77,33.48
26,0.77,34.18
27,0.75,34.42
28,0.75,34.94
29,0.75,35.32
30,0.74,35.55
31,0.74,35.73
32,0.73,36.12
33,0.72,36.1
34,0.72,36.58
35,0.71,36.85
36,0.71,36.99
37,0.7,37.22
38,0.7,37.43
39,0.69,37.65
40,0.69,37.81
41,0.68,37.9
42,0.68,38.09
43,0.68,38.25
44,0.67,38.33
45,0.66,38.39
46,0.68,38.39
47,0.66,38.97
48,0.65,38.75
49,0.65,39.05
50,0.65,38.9
51,0.64,39.16
52,0.64,39.27
53,0.65,39.57
54,0.63,39.62
55,0.64,39.75
56,0.63,39.48
57,0.62,39.84
58,0.61,39.62
59,0.62,39.93
60,0.62,39.94
61,0.62,40.32
62,0.61,40.37
63,0.61,40.7
64,0.6,40.57
65,0.6,40.58
66,0.6,40.74
67,0.6,40.94
68,0.59,40.84
69,0.59,41.28
70,0.58,41.15
71,0.58,41.53
72,0.58,41.34
73,0.58,41.42
74,0.57,41.51
75,0.57,41.95
76,0.57,41.82
77,0.56,42.12
78,0.56,41.83
79,0.56,42.24
80,0.55,42.17
81,0.55,41.9
82,0.55,42.17
83,0.55,42.21
84,0.54,42.6
85,0.55,42.28
86,0.54,42.42
87,0.54,42.75
88,0.54,42.54
89,0.53,42.4
90,0.53,42.57
91,0.53,42.6
92,0.52,42.57
93,0.53,42.47
94,0.52,42.9
95,0.52,42.74
96,0.52,42.74
97,0.52,42.74
98,0.51,42.59
99,0.51,42.94
100,0.51,43.06
101,0.5,43.04
102,0.5,42.95
103,0.5,42.97
104,0.5,43.09
105,0.5,43.19
106,0.5,43.0
107,0.49,42.94
108,0.49,43.24
109,0.49,43.34
110,0.49,43.09
111,0.49,43.09
112,0.48,43.08
113,0.48,43.06
114,0.48,43.34
115,0.48,43.39
116,0.47,43.08
117,0.47,43.1
118,0.48,43.35
119,0.46,43.27
120,0.47,43.44
121,0.47,43.36
122,0.46,43.53
123,0.46,43.67
124,0.45,43.59
125,0.46,43.69
126,0.45,43.68
127,0.45,43.44
128,0.45,43.42
129,0.44,43.37
130,0.45,43.37
131,0.45,43.5
132,0.44,43.48
133,0.44,43.75
134,0.44,43.6
135,0.43,43.69
136,0.43,43.7
137,0.43,43.66
138,0.43,43.88
139,0.43,43.63
140,0.43,43.67
141,0.42,43.61
142,0.43,43.65
143,0.42,43.6
144,0.42,43.65
145,0.42,43.66
146,0.42,43.47
147,0.42,43.84
148,0.41,43.64
149,0.42,43.63
150,0.41,43.85
151,0.42,43.49
152,0.41,43.7
153,0.41,43.42
154,0.4,43.68
155,0.41,43.69
156,0.41,43.77
157,0.41,43.78
158,0.4,43.64
159,0.39,43.76
160,0.4,43.61
161,0.4,43.64
162,0.4,43.73
163,0.39,43.55
164,0.39,43.72
165,0.39,43.74
166,0.39,43.73
167,0.39,44.01
168,0.38,44.0
169,0.39,43.97
170,0.39,43.81
171,0.38,43.78
172,0.38,43.63
173,0.38,43.79
174,0.38,43.96
175,0.37,43.72
176,0.37,44.06
177,0.38,43.78
178,0.37,43.94
179,0.38,43.8
180,0.37,43.7
181,0.36,44.03
182,0.37,43.97
183,0.36,43.99
184,0.36,44.19
185,0.36,43.76
186,0.37,44.12
187,0.36,44.21
188,0.36,44.05
189,0.35,43.88
190,0.36,43.87
191,0.35,44.13
192,0.35,44.12
193,0.35,44.14
194,0.35,44.08
195,0.35,44.36
196,0.35,44.04
197,0.35,44.35
198,0.34,44.19
199,0.35,44.16
