Round,Train Loss,Accuracy
0,1.33,10.0
1,1.05,10.0
2,0.91,10.0
3,0.82,10.0
4,0.74,10.0
5,0.64,10.01
6,0.59,10.42
7,0.52,11.89
8,0.46,14.35
9,0.41,16.18
10,0.36,16.92
11,0.32,17.53
12,0.29,18.36
13,0.26,19.39
14,0.23,20.96
15,0.21,22.05
16,0.19,22.52
17,0.17,22.13
18,0.16,23.33
19,0.14,24.45
20,0.13,23.55
21,0.12,24.56
22,0.11,25.21
23,0.1,27.11
24,0.1,27.7
25,0.09,28.62
26,0.08,28.38
27,0.08,29.19
28,0.08,28.49
29,0.07,30.11
30,0.07,29.71
31,0.07,31.06
32,0.06,30.12
33,0.06,31.4
34,0.06,32.41
35,0.05,32.27
36,0.05,32.24
37,0.05,32.72
38,0.05,32.99
39,0.05,33.23
40,0.05,33.33
41,0.04,33.12
42,0.04,33.45
43,0.04,33.47
44,0.04,33.83
45,0.04,33.73
46,0.04,34.21
47,0.04,33.66
48,0.04,34.03
49,0.04,33.71
50,0.03,33.59
51,0.03,33.63
52,0.03,33.81
53,0.03,33.63
54,0.03,33.5
55,0.03,33.12
56,0.03,33.4
57,0.03,33.0
58,0.03,33.27
59,0.03,33.24
60,0.03,33.49
61,0.03,33.25
62,0.03,33.53
63,0.03,33.33
64,0.03,32.65
65,0.03,33.1
66,0.03,33.04
67,0.03,32.11
68,0.03,32.62
69,0.03,32.71
70,0.03,32.27
71,0.03,32.51
72,0.02,32.45
73,0.02,32.31
74,0.02,31.83
75,0.02,32.34
76,0.02,32.69
77,0.02,32.1
78,0.02,32.13
79,0.02,32.41
80,0.02,32.21
81,0.02,32.49
82,0.02,32.32
83,0.02,32.18
84,0.02,32.09
85,0.02,31.82
86,0.02,31.65
87,0.02,31.28
88,0.02,31.31
89,0.02,30.93
90,0.02,30.99
91,0.02,31.23
92,0.02,31.33
93,0.02,31.21
94,0.02,31.44
95,0.02,31.49
96,0.02,31.39
97,0.02,31.27
98,0.02,31.18
99,0.02,31.53
100,0.02,31.15
101,0.02,31.38
102,0.02,31.25
103,0.02,31.12
104,0.02,31.18
105,0.02,30.98
106,0.02,30.94
107,0.02,30.75
108,0.01,30.66
109,0.02,29.55
110,0.02,30.11
111,0.01,30.46
112,0.01,30.44
113,0.01,30.45
114,0.01,30.68
115,0.01,30.78
116,0.01,30.83
117,0.01,30.63
118,0.01,30.45
119,0.01,30.5
120,0.01,30.68
121,0.01,30.66
122,0.01,30.6
123,0.01,30.96
124,0.01,31.25
125,0.01,30.68
126,0.01,30.48
127,0.01,30.08
128,0.01,30.46
129,0.01,30.24
130,0.01,29.98
131,0.01,30.33
132,0.01,30.26
133,0.01,30.59
134,0.01,30.56
135,0.01,30.63
136,0.01,30.88
137,0.01,30.5
138,0.01,30.16
139,0.01,30.39
140,0.01,30.64
141,0.01,30.43
142,0.01,30.48
143,0.01,30.44
144,0.01,30.41
145,0.01,30.41
146,0.01,30.49
147,0.01,30.28
148,0.01,30.13
149,0.01,30.15
150,0.01,30.42
151,0.01,30.27
152,0.01,30.43
153,0.01,30.47
154,0.01,30.21
155,0.01,29.92
156,0.01,29.89
157,0.01,30.25
158,0.01,30.21
159,0.01,30.08
160,0.01,29.89
161,0.01,29.81
162,0.01,29.73
163,0.01,29.63
164,0.01,29.43
165,0.01,29.7
166,0.01,29.58
167,0.01,29.78
168,0.01,29.8
169,0.01,30.02
170,0.01,29.86
171,0.01,29.63
172,0.01,29.7
173,0.01,29.37
174,0.01,29.43
175,0.01,29.66
176,0.01,29.52
177,0.01,29.43
178,0.01,29.59
179,0.01,29.57
180,0.01,29.22
181,0.01,29.6
182,0.01,29.4
183,0.01,29.21
184,0.01,29.65
185,0.01,29.56
186,0.01,29.14
187,0.01,29.11
188,0.01,29.57
189,0.01,29.37
190,0.01,29.2
191,0.01,29.1
192,0.01,29.21
193,0.01,29.15
194,0.01,29.03
195,0.01,29.26
196,0.01,29.05
197,0.01,29.01
198,0.01,28.77
199,0.01,29.04
