Round,Train Loss,Accuracy
0,1.37,10.0
1,1.13,10.0
2,1.0,10.08
3,0.89,11.75
4,0.81,12.48
5,0.73,11.77
6,0.66,11.56
7,0.59,12.93
8,0.54,18.24
9,0.48,20.53
10,0.44,21.53
11,0.42,24.22
12,0.38,25.65
13,0.34,26.8
14,0.31,28.49
15,0.28,27.29
16,0.26,28.13
17,0.24,28.23
18,0.23,31.61
19,0.2,32.05
20,0.19,33.28
21,0.18,34.1
22,0.17,33.93
23,0.16,35.06
24,0.15,35.6
25,0.14,36.23
26,0.14,36.05
27,0.13,36.91
28,0.13,37.76
29,0.12,38.18
30,0.12,38.48
31,0.11,39.27
32,0.11,39.24
33,0.1,39.74
34,0.1,39.64
35,0.1,39.79
36,0.09,39.54
37,0.09,39.46
38,0.09,39.51
39,0.09,39.59
40,0.08,39.82
41,0.08,39.92
42,0.08,40.25
43,0.08,40.13
44,0.08,40.34
45,0.07,40.83
46,0.07,40.66
47,0.07,40.46
48,0.07,40.45
49,0.07,40.27
50,0.07,40.63
51,0.06,40.08
52,0.06,40.26
53,0.06,40.34
54,0.06,40.33
55,0.06,40.45
56,0.06,40.37
57,0.06,40.26
58,0.06,40.26
59,0.05,40.14
60,0.05,39.95
61,0.05,39.85
62,0.05,39.73
63,0.05,39.79
64,0.05,39.99
65,0.05,40.21
66,0.05,40.2
67,0.05,40.11
68,0.05,40.06
69,0.05,39.91
70,0.05,40.0
71,0.04,40.06
72,0.04,39.87
73,0.04,39.79
74,0.04,39.76
75,0.04,39.74
76,0.04,40.04
77,0.04,39.99
78,0.04,39.98
79,0.04,39.94
80,0.04,40.03
81,0.04,39.65
82,0.04,39.68
83,0.04,39.63
84,0.04,39.68
85,0.04,39.81
86,0.03,39.65
87,0.03,39.42
88,0.03,39.87
89,0.03,39.57
90,0.03,39.28
91,0.03,39.24
92,0.03,39.09
93,0.03,39.27
94,0.03,39.19
95,0.03,39.07
96,0.03,39.31
97,0.03,39.52
98,0.03,39.18
99,0.02,39.2
100,0.02,39.06
101,0.02,38.85
102,0.02,38.63
103,0.02,38.84
104,0.02,38.88
105,0.02,38.82
106,0.02,38.5
107,0.02,38.62
108,0.02,38.08
109,0.02,38.62
110,0.02,38.6
111,0.02,37.78
112,0.02,38.06
113,0.02,38.72
114,0.02,38.56
115,0.02,38.33
116,0.02,37.86
117,0.02,37.59
118,0.02,37.55
119,0.02,37.36
120,0.02,37.2
121,0.02,37.47
122,0.02,37.83
123,0.02,38.09
124,0.02,37.75
125,0.02,37.71
126,0.02,37.56
127,0.02,37.58
128,0.02,37.29
129,0.02,37.32
130,0.02,37.34
131,0.02,37.35
132,0.02,37.14
133,0.02,36.97
134,0.02,36.43
135,0.02,36.9
136,0.02,37.35
137,0.02,37.25
138,0.02,37.31
139,0.02,37.21
140,0.02,36.98
141,0.02,36.74
142,0.02,36.96
143,0.02,36.65
144,0.01,36.78
145,0.02,36.56
146,0.01,36.57
147,0.01,36.67
148,0.01,37.1
149,0.01,36.86
150,0.01,37.06
151,0.01,36.63
152,0.01,36.74
153,0.01,37.06
154,0.01,36.75
155,0.01,36.89
156,0.01,36.4
157,0.01,36.04
158,0.01,36.03
159,0.01,36.51
160,0.01,36.69
161,0.01,36.69
162,0.01,36.74
163,0.01,36.93
164,0.01,36.75
165,0.01,36.39
166,0.01,36.77
167,0.01,36.54
168,0.01,36.81
169,0.01,36.4
170,0.01,36.6
171,0.01,36.35
172,0.01,35.95
173,0.01,35.78
174,0.01,35.52
175,0.01,35.51
176,0.01,35.73
177,0.01,36.16
178,0.01,36.06
179,0.01,35.61
180,0.01,35.13
181,0.01,35.83
182,0.01,35.62
183,0.01,36.14
184,0.01,36.26
185,0.01,36.41
186,0.01,36.73
187,0.01,36.96
188,0.01,37.13
189,0.01,37.22
190,0.01,36.72
191,0.01,37.12
192,0.01,36.82
193,0.01,36.39
194,0.01,36.22
195,0.01,36.19
196,0.01,36.04
197,0.01,36.39
198,0.01,36.37
199,0.01,36.69
