Round,Train Loss,Accuracy
0,1.73,10.0
1,1.71,10.0
2,1.7,10.0
3,1.7,10.0
4,1.72,10.0
5,1.74,10.0
6,1.74,10.17
7,1.75,10.02
8,1.72,10.36
9,1.71,10.63
10,1.69,10.0
11,1.69,9.98
12,1.66,10.0
13,1.66,9.99
14,1.65,18.61
15,1.64,10.24
16,1.59,10.03
17,1.59,10.01
18,1.6,10.02
19,1.58,10.26
20,1.6,10.33
21,1.57,10.12
22,1.57,11.77
23,1.56,10.23
24,1.57,10.98
25,1.56,14.87
26,1.56,10.69
27,1.57,12.67
28,1.55,12.92
29,1.55,20.99
30,1.51,18.7
31,1.45,17.48
32,1.46,18.27
33,1.43,18.49
34,1.42,18.59
35,1.4,18.94
36,1.39,18.7
37,1.36,19.17
38,1.36,19.04
39,1.35,19.08
40,1.34,19.1
41,1.32,19.99
42,1.31,19.11
43,1.31,19.08
44,1.32,24.28
45,1.27,21.28
46,1.24,20.29
47,1.22,20.94
48,1.24,21.61
49,1.2,20.54
50,1.21,20.77
51,1.21,21.16
52,1.19,21.05
53,1.21,22.37
54,1.18,21.82
55,1.2,21.31
56,1.18,21.8
57,1.17,21.81
58,1.16,21.84
59,1.17,26.66
60,1.16,23.83
61,1.12,21.89
62,1.13,23.17
63,1.13,23.41
64,1.11,23.75
65,1.1,22.98
66,1.13,23.92
67,1.09,23.21
68,1.1,23.27
69,1.09,23.6
70,1.08,23.75
71,1.08,23.04
72,1.1,23.63
73,1.06,23.76
74,1.06,27.61
75,1.06,23.89
76,1.09,23.7
77,1.09,24.22
78,1.06,24.23
79,1.05,24.28
80,1.06,23.94
81,1.07,24.47
82,1.03,24.28
83,1.05,24.17
84,1.02,24.24
85,1.02,24.08
86,1.02,24.72
87,1.04,24.73
88,1.0,24.63
89,1.01,27.71
90,1.06,24.63
91,1.01,23.63
92,1.03,24.67
93,1.03,25.19
94,1.01,24.96
95,1.01,25.17
96,1.03,24.66
97,1.02,25.09
98,0.99,25.3
99,0.97,25.01
100,0.99,24.99
101,0.96,25.53
102,0.97,25.55
103,0.97,24.89
104,0.96,27.61
105,0.99,24.81
106,0.98,25.3
107,0.98,25.61
108,1.01,25.68
109,0.97,24.83
110,1.0,25.0
111,1.0,25.77
112,0.97,25.52
113,0.98,25.36
114,0.96,25.4
115,0.93,25.27
116,0.95,25.51
117,0.94,25.37
118,0.94,25.87
119,0.93,27.31
120,0.99,25.24
121,1.01,25.13
122,0.98,25.7
123,0.97,25.37
124,0.97,25.44
125,0.98,26.02
126,0.95,25.22
127,0.94,25.4
128,0.94,25.67
129,0.93,26.01
130,0.92,25.77
131,0.93,25.56
132,0.93,25.86
133,0.91,25.73
134,0.92,26.83
135,0.97,25.01
136,0.97,25.0
137,0.97,24.99
138,0.96,25.94
139,0.94,25.39
140,0.94,25.51
141,0.93,26.15
142,0.94,25.81
143,0.91,26.15
144,0.93,25.82
145,0.91,25.86
146,0.92,25.94
147,0.9,25.59
148,0.91,25.91
149,0.89,27.07
150,0.99,25.58
151,0.96,24.87
152,0.96,25.85
153,0.95,25.7
154,0.92,25.44
155,0.92,26.0
156,0.93,25.91
157,0.9,25.49
158,0.93,26.02
159,0.92,25.93
160,0.91,25.38
161,0.87,25.93
162,0.88,26.12
163,0.88,25.91
164,0.87,26.89
165,0.94,25.59
166,0.94,25.45
167,0.94,25.38
168,0.93,25.86
169,0.91,25.45
170,0.9,25.87
171,0.89,25.82
172,0.9,26.12
173,0.88,25.63
174,0.89,26.26
175,0.88,26.36
176,0.86,25.87
177,0.88,25.35
178,0.85,25.6
179,0.85,27.54
180,0.93,24.54
181,0.94,24.9
182,0.93,25.79
183,0.92,25.81
184,0.9,25.6
185,0.91,25.85
186,0.91,25.75
187,0.89,25.52
188,0.87,26.01
189,0.88,25.67
190,0.84,26.0
191,0.87,25.57
192,0.85,25.93
193,0.85,26.12
194,0.85,27.66
195,0.95,25.55
196,0.94,25.54
197,0.91,25.79
198,0.88,25.75
199,0.86,25.44
