Round,Train Loss,Accuracy
0,1.61,10.0
1,1.58,10.68
2,1.6,14.78
3,1.65,13.63
4,1.66,14.15
5,1.66,15.33
6,1.63,16.57
7,1.6,17.72
8,1.59,18.3
9,1.57,19.42
10,1.54,19.05
11,1.51,20.25
12,1.5,21.09
13,1.49,21.77
14,1.44,19.07
15,1.43,21.25
16,1.4,21.8
17,1.38,22.22
18,1.36,22.17
19,1.35,22.38
20,1.33,22.41
21,1.32,22.35
22,1.28,21.8
23,1.28,22.58
24,1.27,22.38
25,1.26,22.59
26,1.25,22.7
27,1.22,22.55
28,1.2,22.72
29,1.2,23.8
30,1.17,22.75
31,1.15,22.77
32,1.16,22.95
33,1.15,23.07
34,1.13,22.89
35,1.14,23.4
36,1.12,23.32
37,1.11,22.84
38,1.1,23.05
39,1.13,23.52
40,1.12,23.88
41,1.1,23.81
42,1.09,23.92
43,1.1,23.71
44,1.1,24.95
45,1.09,23.73
46,1.07,23.67
47,1.07,23.7
48,1.05,24.65
49,1.06,23.81
50,1.07,24.18
51,1.02,24.71
52,1.02,24.41
53,1.06,24.34
54,1.04,24.41
55,1.02,24.5
56,1.01,24.14
57,1.01,24.19
58,1.01,24.65
59,1.04,25.58
60,1.03,24.74
61,1.0,24.61
62,1.02,24.86
63,1.01,25.1
64,1.03,24.41
65,0.99,24.74
66,1.0,25.35
67,0.98,25.26
68,0.99,25.19
69,1.0,25.28
70,1.0,25.2
71,0.98,25.3
72,0.97,25.12
73,0.97,25.49
74,1.0,25.91
75,0.98,25.59
76,0.95,26.39
77,0.97,25.86
78,0.97,26.24
79,0.96,24.96
80,0.96,26.38
81,0.97,25.94
82,0.97,26.57
83,0.9,26.47
84,0.96,26.21
85,0.91,25.57
86,0.94,25.97
87,0.93,25.01
88,0.94,25.64
89,0.92,26.13
90,0.91,27.0
91,0.92,26.17
92,0.92,26.46
93,0.91,25.59
94,0.89,21.26
95,1.04,26.14
96,0.98,26.62
97,0.92,27.13
98,0.91,25.92
99,0.91,26.62
100,0.9,26.65
101,0.89,26.47
102,0.86,26.32
103,0.88,26.42
104,0.87,25.93
105,0.84,26.71
106,0.88,26.49
107,0.88,26.92
108,0.88,26.29
109,0.88,27.0
110,0.85,27.24
111,0.85,26.18
112,0.88,26.39
113,0.86,27.15
114,0.87,26.99
115,0.87,25.97
116,0.87,26.88
117,0.86,27.49
118,0.84,27.02
119,0.81,26.03
120,0.83,27.22
121,0.82,26.62
122,0.83,27.4
123,0.85,26.92
124,0.85,27.32
125,0.82,26.61
126,0.84,27.31
127,0.84,27.12
128,0.82,26.35
129,0.83,26.89
130,0.85,26.36
131,0.81,26.73
132,0.83,26.97
133,0.81,27.14
134,0.83,28.01
135,0.79,27.22
136,0.83,26.94
137,0.85,27.0
138,0.79,27.44
139,0.8,27.52
140,0.78,27.05
141,0.81,27.64
142,0.78,27.17
143,0.78,27.68
144,0.79,26.54
145,0.78,27.76
146,0.79,27.39
147,0.77,26.82
148,0.8,28.14
149,0.77,28.33
150,0.81,27.6
151,0.78,27.59
152,0.77,27.63
153,0.77,28.17
154,0.79,28.62
155,0.77,27.32
156,0.75,27.8
157,0.78,27.82
158,0.76,26.95
159,0.74,27.63
160,0.75,26.55
161,0.74,26.67
162,0.8,27.43
163,0.76,28.24
164,0.76,28.15
165,0.72,26.96
166,0.75,27.52
167,0.75,26.98
168,0.75,28.2
169,0.75,26.73
170,0.78,28.07
171,0.77,27.65
172,0.75,27.18
173,0.74,28.63
174,0.73,28.31
175,0.72,27.72
176,0.71,27.76
177,0.74,26.81
178,0.74,28.29
179,0.7,28.5
180,0.78,27.94
181,0.69,27.27
182,0.79,28.21
183,0.73,27.54
184,0.72,27.67
185,0.71,26.44
186,0.76,27.79
187,0.72,27.9
188,0.72,26.72
189,0.69,28.7
190,0.69,28.48
191,0.67,27.97
192,0.68,27.95
193,0.68,29.25
194,0.69,28.19
195,0.7,28.45
196,0.68,28.32
197,0.65,27.83
198,0.71,28.85
199,0.72,28.96
