Round,Train Loss,Accuracy
0,0.8,10.0
1,0.66,10.0
2,0.6,10.02
3,0.57,11.42
4,0.55,13.95
5,0.54,13.8
6,0.52,16.88
7,0.51,17.58
8,0.5,19.25
9,0.49,18.74
10,0.48,20.51
11,0.47,21.08
12,0.45,20.53
13,0.44,22.11
14,0.43,22.32
15,0.42,24.45
16,0.41,24.38
17,0.41,25.03
18,0.4,26.37
19,0.38,26.64
20,0.39,27.07
21,0.37,27.39
22,0.36,27.96
23,0.35,28.43
24,0.35,28.99
25,0.34,28.69
26,0.33,28.97
27,0.33,29.55
28,0.33,29.84
29,0.32,19.31
30,0.49,19.82
31,0.46,20.95
32,0.44,22.54
33,0.43,23.61
34,0.41,24.55
35,0.4,25.34
36,0.38,26.11
37,0.37,26.87
38,0.36,27.43
39,0.36,28.18
40,0.35,28.39
41,0.35,29.17
42,0.34,29.7
43,0.33,30.14
44,0.33,30.14
45,0.32,30.13
46,0.32,30.69
47,0.32,30.61
48,0.31,30.32
49,0.31,30.67
50,0.3,31.24
51,0.3,31.64
52,0.3,31.5
53,0.3,31.82
54,0.3,31.31
55,0.3,31.49
56,0.3,32.34
57,0.28,31.68
58,0.29,32.11
59,0.28,26.35
60,0.41,25.05
61,0.4,25.49
62,0.39,26.67
63,0.37,27.43
64,0.36,28.23
65,0.35,29.09
66,0.34,28.65
67,0.34,30.13
68,0.33,30.42
69,0.32,30.06
70,0.32,30.55
71,0.32,30.67
72,0.31,31.11
73,0.31,31.06
74,0.3,31.29
75,0.3,31.86
76,0.3,32.17
77,0.29,32.14
78,0.29,32.01
79,0.28,32.15
80,0.28,32.16
81,0.29,32.41
82,0.28,32.49
83,0.28,32.51
84,0.28,32.55
85,0.27,32.52
86,0.27,32.68
87,0.27,33.4
88,0.26,32.99
89,0.27,29.0
90,0.37,28.46
91,0.35,28.78
92,0.34,29.91
93,0.33,30.4
94,0.33,30.42
95,0.32,30.51
96,0.31,30.99
97,0.31,31.23
98,0.31,31.24
99,0.31,31.6
100,0.3,31.48
101,0.3,31.52
102,0.29,31.91
103,0.28,32.29
104,0.28,32.23
105,0.28,32.31
106,0.28,32.47
107,0.28,32.58
108,0.28,32.41
109,0.28,32.71
110,0.27,33.03
111,0.27,32.77
112,0.27,33.02
113,0.27,32.91
114,0.26,33.39
115,0.26,33.41
116,0.26,33.42
117,0.25,33.3
118,0.25,33.51
119,0.25,31.54
120,0.35,30.96
121,0.33,30.37
122,0.32,30.41
123,0.31,31.0
124,0.31,31.5
125,0.31,31.88
126,0.29,31.83
127,0.29,32.15
128,0.28,32.03
129,0.28,32.28
130,0.28,32.57
131,0.29,32.73
132,0.27,33.03
133,0.27,33.24
134,0.27,33.07
135,0.27,33.45
136,0.26,33.58
137,0.26,33.74
138,0.25,33.53
139,0.26,33.78
140,0.25,33.85
141,0.25,34.02
142,0.24,34.37
143,0.25,34.54
144,0.24,34.4
145,0.24,34.19
146,0.23,33.98
147,0.23,34.8
148,0.23,34.68
149,0.23,32.49
150,0.33,32.36
151,0.31,32.19
152,0.3,32.5
153,0.3,32.66
154,0.29,33.0
155,0.29,32.88
156,0.28,33.54
157,0.27,33.69
158,0.27,33.99
159,0.27,34.12
160,0.26,34.12
161,0.26,33.93
162,0.25,34.37
163,0.25,35.06
164,0.25,34.79
165,0.24,34.54
166,0.25,34.57
167,0.24,34.83
168,0.24,34.42
169,0.23,35.17
170,0.24,34.44
171,0.23,35.01
172,0.22,34.83
173,0.23,35.4
174,0.22,35.04
175,0.23,35.36
176,0.22,35.1
177,0.21,34.81
178,0.22,35.64
179,0.21,33.41
180,0.32,33.5
181,0.29,32.86
182,0.29,33.32
183,0.28,34.1
184,0.27,34.32
185,0.27,34.14
186,0.26,34.34
187,0.26,34.15
188,0.25,34.97
189,0.25,35.2
190,0.25,35.15
191,0.24,34.99
192,0.24,35.08
193,0.24,34.94
194,0.24,35.51
195,0.23,35.35
196,0.23,35.09
197,0.23,35.66
198,0.22,35.08
199,0.22,35.78
