Round,Train Loss,Accuracy
0,1.27,14.19
1,0.84,16.88
2,0.74,21.7
3,0.66,23.46
4,0.61,25.76
5,0.58,26.59
6,0.57,27.62
7,0.54,28.1
8,0.53,31.42
9,0.51,31.17
10,0.5,32.2
11,0.5,32.43
12,0.48,34.47
13,0.48,35.53
14,0.47,33.95
15,0.47,35.85
16,0.46,35.18
17,0.45,36.63
18,0.45,37.11
19,0.44,35.58
20,0.43,38.27
21,0.42,37.73
22,0.42,37.93
23,0.42,38.62
24,0.41,37.77
25,0.4,38.67
26,0.39,37.78
27,0.39,38.63
28,0.39,38.63
29,0.38,39.47
30,0.5,35.46
31,0.48,37.04
32,0.47,37.64
33,0.46,38.0
34,0.44,39.01
35,0.44,39.98
36,0.43,39.09
37,0.42,38.77
38,0.42,39.69
39,0.42,39.78
40,0.41,38.75
41,0.41,39.41
42,0.39,39.67
43,0.39,40.47
44,0.38,39.23
45,0.38,40.48
46,0.37,40.59
47,0.37,40.11
48,0.36,40.38
49,0.35,40.19
50,0.35,40.53
51,0.35,41.41
52,0.34,41.37
53,0.34,40.49
54,0.33,41.02
55,0.32,41.82
56,0.32,41.02
57,0.31,40.32
58,0.32,40.52
59,0.31,42.4
60,0.45,40.42
61,0.43,40.72
62,0.42,39.74
63,0.41,41.05
64,0.4,40.42
65,0.4,40.61
66,0.39,41.59
67,0.38,39.91
68,0.38,41.16
69,0.37,41.54
70,0.36,41.51
71,0.35,40.23
72,0.35,40.56
73,0.35,40.43
74,0.34,41.38
75,0.33,41.09
76,0.33,41.15
77,0.32,41.48
78,0.32,41.62
79,0.32,41.34
80,0.31,41.5
81,0.3,41.24
82,0.29,40.94
83,0.29,41.42
84,0.29,40.11
85,0.28,41.2
86,0.28,41.83
87,0.27,40.22
88,0.27,41.08
89,0.26,43.57
90,0.43,39.93
91,0.41,42.76
92,0.4,41.68
93,0.39,41.78
94,0.38,41.78
95,0.37,41.37
96,0.36,40.99
97,0.36,40.64
98,0.35,41.02
99,0.34,40.78
100,0.34,41.23
101,0.32,42.61
102,0.32,40.63
103,0.32,42.86
104,0.32,40.25
105,0.3,41.11
106,0.3,42.23
107,0.29,42.0
108,0.29,41.64
109,0.28,41.54
110,0.27,42.52
111,0.27,41.38
112,0.27,40.96
113,0.26,41.93
114,0.26,42.04
115,0.25,41.29
116,0.25,41.59
117,0.24,41.71
118,0.24,41.75
119,0.24,45.19
120,0.42,41.57
121,0.4,40.75
122,0.38,41.36
123,0.37,42.69
124,0.37,41.63
125,0.35,41.78
126,0.34,41.89
127,0.33,41.95
128,0.33,41.56
129,0.32,43.15
130,0.32,42.66
131,0.31,42.64
132,0.3,42.06
133,0.3,41.87
134,0.29,41.41
135,0.28,41.99
136,0.28,42.44
137,0.27,40.1
138,0.27,41.76
139,0.26,41.89
140,0.26,41.02
141,0.24,41.14
142,0.25,41.81
143,0.24,42.71
144,0.23,40.94
145,0.24,41.57
146,0.23,41.21
147,0.22,41.53
148,0.22,41.58
149,0.22,45.36
150,0.42,42.35
151,0.39,41.03
152,0.37,41.7
153,0.36,42.81
154,0.35,41.21
155,0.34,42.41
156,0.34,41.05
157,0.33,42.19
158,0.32,41.28
159,0.31,41.86
160,0.3,42.54
161,0.3,42.48
162,0.29,42.69
163,0.28,42.61
164,0.28,42.37
165,0.27,41.72
166,0.27,41.68
167,0.26,42.81
168,0.26,42.96
169,0.25,41.25
170,0.24,42.21
171,0.24,41.56
172,0.24,43.2
173,0.23,41.76
174,0.23,41.46
175,0.22,41.63
176,0.21,42.08
177,0.22,41.87
178,0.2,42.93
179,0.2,45.99
180,0.4,42.46
181,0.38,42.86
182,0.37,42.24
183,0.35,41.47
184,0.34,42.07
185,0.33,42.94
186,0.32,41.63
187,0.31,41.77
188,0.31,42.11
189,0.31,42.33
190,0.29,42.3
191,0.29,42.54
192,0.28,42.24
193,0.28,42.48
194,0.27,42.36
195,0.26,42.45
196,0.25,42.68
197,0.25,42.31
198,0.25,43.04
199,0.23,42.66
