Round,Train Loss,Accuracy
0,1.75,10.03
1,1.73,10.05
2,1.69,9.91
3,1.67,11.41
4,1.65,10.6
5,1.65,11.07
6,1.64,13.83
7,1.63,16.27
8,1.61,17.87
9,1.59,17.28
10,1.58,18.8
11,1.56,19.5
12,1.53,20.2
13,1.52,20.87
14,1.49,21.53
15,1.47,22.48
16,1.45,22.68
17,1.43,24.08
18,1.41,24.92
19,1.38,22.13
20,1.36,26.64
21,1.34,27.37
22,1.32,28.05
23,1.3,28.54
24,1.28,29.33
25,1.26,29.74
26,1.24,30.17
27,1.22,30.42
28,1.21,30.67
29,1.19,27.75
30,1.17,31.33
31,1.16,31.51
32,1.15,31.88
33,1.14,32.13
34,1.12,32.66
35,1.11,32.74
36,1.1,32.91
37,1.09,32.93
38,1.08,33.32
39,1.07,30.07
40,1.06,33.4
41,1.05,33.51
42,1.04,33.46
43,1.03,33.6
44,1.02,33.74
45,1.01,33.7
46,1.01,34.02
47,1.0,33.97
48,0.99,33.98
49,0.99,31.01
50,0.98,34.16
51,0.97,34.19
52,0.96,34.06
53,0.96,34.23
54,0.95,34.22
55,0.94,34.28
56,0.94,34.39
57,0.93,34.43
58,0.93,34.47
59,0.92,34.7
60,0.91,34.69
61,0.91,34.81
62,0.9,34.74
63,0.89,34.64
64,0.89,34.81
65,0.88,34.96
66,0.88,34.91
67,0.87,35.02
68,0.87,34.92
69,0.87,35.16
70,0.86,35.06
71,0.86,35.05
72,0.85,35.17
73,0.84,35.06
74,0.84,35.15
75,0.83,35.41
76,0.83,35.19
77,0.83,35.12
78,0.82,35.37
79,0.82,35.66
80,0.81,35.21
81,0.81,35.2
82,0.81,34.92
83,0.8,35.17
84,0.8,35.35
85,0.79,35.38
86,0.79,35.3
87,0.79,35.2
88,0.78,35.0
89,0.78,35.42
90,0.77,35.28
91,0.77,35.32
92,0.76,35.21
93,0.76,35.36
94,0.75,35.19
95,0.75,35.34
96,0.75,35.31
97,0.74,35.32
98,0.74,35.23
99,0.74,35.54
100,0.73,35.24
101,0.73,35.14
102,0.72,35.2
103,0.72,35.0
104,0.71,35.13
105,0.71,35.3
106,0.71,35.31
107,0.7,35.38
108,0.7,35.49
109,0.7,35.5
110,0.69,35.32
111,0.69,35.33
112,0.68,35.15
113,0.68,35.23
114,0.68,35.17
115,0.67,35.1
116,0.67,35.29
117,0.66,35.33
118,0.66,35.41
119,0.66,35.55
120,0.65,35.37
121,0.65,35.44
122,0.65,35.28
123,0.65,35.26
124,0.64,35.58
125,0.64,35.39
126,0.63,35.43
127,0.63,35.34
128,0.63,35.22
129,0.63,35.78
130,0.62,35.37
131,0.62,35.59
132,0.62,35.45
133,0.62,35.21
134,0.61,35.19
135,0.61,35.13
136,0.6,35.15
137,0.61,35.15
138,0.6,35.09
139,0.6,35.55
140,0.6,34.95
141,0.59,35.1
142,0.59,34.86
143,0.59,35.06
144,0.58,35.04
145,0.58,34.92
146,0.58,34.79
147,0.57,34.95
148,0.57,34.96
149,0.58,35.6
150,0.57,34.83
151,0.56,35.01
152,0.56,35.03
153,0.56,35.01
154,0.56,34.78
155,0.56,34.98
156,0.55,34.98
157,0.55,34.93
158,0.55,35.01
159,0.55,35.46
160,0.54,34.98
161,0.55,34.9
162,0.54,34.93
163,0.54,34.87
164,0.53,35.02
165,0.54,34.52
166,0.53,34.72
167,0.53,34.88
168,0.53,34.72
169,0.53,35.28
170,0.53,34.85
171,0.52,34.72
172,0.53,34.75
173,0.52,34.9
174,0.51,34.71
175,0.51,34.91
176,0.51,34.66
177,0.51,34.82
178,0.51,34.88
179,0.51,35.12
180,0.51,34.63
181,0.5,34.79
182,0.5,34.72
183,0.5,34.87
184,0.5,34.66
185,0.5,34.57
186,0.5,34.52
187,0.49,34.78
188,0.49,34.86
189,0.49,35.2
190,0.49,34.64
191,0.49,34.5
192,0.49,34.57
193,0.48,34.62
194,0.49,34.58
195,0.48,34.8
196,0.48,34.59
197,0.48,34.67
198,0.48,34.79
199,0.48,35.03
