Round,Train Loss,Accuracy
0,1.33,10.45
1,1.01,11.23
2,0.91,17.82
3,0.87,19.11
4,0.83,21.02
5,0.79,24.78
6,0.76,25.61
7,0.72,29.77
8,0.7,32.34
9,0.69,33.48
10,0.67,34.42
11,0.66,35.29
12,0.66,35.96
13,0.65,35.39
14,0.65,36.36
15,0.64,37.59
16,0.63,37.82
17,0.62,37.77
18,0.62,37.79
19,0.61,39.35
20,0.61,39.95
21,0.61,40.21
22,0.6,39.28
23,0.6,40.8
24,0.6,40.49
25,0.59,40.55
26,0.59,41.04
27,0.58,41.61
28,0.58,41.26
29,0.57,41.95
30,0.57,41.13
31,0.57,42.22
32,0.56,42.15
33,0.57,42.52
34,0.56,42.43
35,0.55,42.95
36,0.56,43.24
37,0.55,42.73
38,0.55,43.26
39,0.55,43.75
40,0.54,43.7
41,0.55,43.82
42,0.55,43.46
43,0.54,44.03
44,0.53,43.49
45,0.53,44.08
46,0.53,44.18
47,0.54,44.42
48,0.52,44.92
49,0.52,44.5
50,0.53,44.22
51,0.51,44.75
52,0.52,44.33
53,0.51,44.76
54,0.51,44.12
55,0.51,44.72
56,0.51,44.93
57,0.5,45.26
58,0.5,45.77
59,0.5,43.5
60,0.5,46.29
61,0.5,44.91
62,0.5,45.99
63,0.49,45.21
64,0.49,45.91
65,0.49,45.81
66,0.5,46.12
67,0.49,45.38
68,0.49,45.68
69,0.48,45.5
70,0.48,46.22
71,0.47,46.31
72,0.47,46.66
73,0.48,46.18
74,0.47,46.15
75,0.47,46.53
76,0.47,46.67
77,0.47,46.76
78,0.47,46.56
79,0.47,46.56
80,0.46,46.56
81,0.46,46.85
82,0.46,46.64
83,0.46,46.76
84,0.46,47.01
85,0.45,45.95
86,0.46,46.91
87,0.46,46.64
88,0.45,47.2
89,0.46,43.33
90,0.45,46.96
91,0.45,46.7
92,0.44,46.9
93,0.45,47.34
94,0.45,46.69
95,0.44,47.29
96,0.45,46.45
97,0.44,47.07
98,0.44,47.14
99,0.45,47.09
100,0.43,46.7
101,0.44,46.94
102,0.43,46.86
103,0.43,47.33
104,0.42,46.92
105,0.43,47.22
106,0.42,47.54
107,0.42,47.33
108,0.42,47.5
109,0.42,47.23
110,0.42,47.16
111,0.43,47.31
112,0.42,46.59
113,0.42,47.52
114,0.41,47.96
115,0.41,47.41
116,0.41,47.25
117,0.41,47.12
118,0.41,47.51
119,0.41,42.77
120,0.4,47.27
121,0.41,47.61
122,0.41,47.64
123,0.41,47.2
124,0.4,47.76
125,0.41,47.61
126,0.41,47.0
127,0.4,47.34
128,0.4,48.0
129,0.4,47.35
130,0.39,47.47
131,0.39,47.41
132,0.39,47.48
133,0.39,47.09
134,0.39,47.26
135,0.39,47.3
136,0.4,47.32
137,0.39,46.85
138,0.39,47.19
139,0.39,46.56
140,0.38,46.95
141,0.38,47.16
142,0.38,47.05
143,0.38,47.12
144,0.38,46.89
145,0.38,47.32
146,0.38,47.46
147,0.38,47.3
148,0.38,47.3
149,0.38,44.16
150,0.38,47.12
151,0.38,46.09
152,0.37,47.47
153,0.37,47.28
154,0.37,46.96
155,0.37,47.56
156,0.36,47.14
157,0.37,47.01
158,0.38,47.33
159,0.38,47.0
160,0.36,47.46
161,0.36,47.68
162,0.37,46.77
163,0.38,46.92
164,0.37,47.34
165,0.36,47.26
166,0.36,47.8
167,0.36,47.16
168,0.36,47.43
169,0.35,47.11
170,0.36,47.42
171,0.36,47.1
172,0.36,47.21
173,0.36,47.01
174,0.35,47.14
175,0.35,47.17
176,0.35,47.26
177,0.35,47.03
178,0.36,46.64
179,0.35,43.81
180,0.35,47.4
181,0.35,47.2
182,0.34,47.12
183,0.34,47.18
184,0.35,47.07
185,0.35,46.9
186,0.34,47.11
187,0.35,46.99
188,0.34,46.77
189,0.34,47.27
190,0.34,47.21
191,0.33,46.89
192,0.34,46.71
193,0.34,47.12
194,0.36,47.54
195,0.35,46.93
196,0.34,47.0
197,0.35,47.33
198,0.33,47.05
199,0.33,46.94
