Round,Train Loss,Accuracy
0,1.41,10.0
1,1.08,10.0
2,0.9,10.02
3,0.76,13.47
4,0.65,16.43
5,0.53,17.69
6,0.44,17.64
7,0.39,18.94
8,0.34,18.8
9,0.26,19.65
10,0.22,20.67
11,0.19,20.93
12,0.17,21.7
13,0.15,22.04
14,0.12,10.0
15,0.62,10.0
16,0.42,10.0
17,0.31,10.0
18,0.23,10.22
19,0.18,13.58
20,0.15,21.04
21,0.12,24.02
22,0.1,24.36
23,0.09,24.66
24,0.08,25.14
25,0.07,25.35
26,0.07,25.76
27,0.06,26.08
28,0.05,25.78
29,0.05,10.0
30,0.42,10.0
31,0.24,10.0
32,0.15,11.29
33,0.11,20.09
34,0.09,26.07
35,0.07,28.11
36,0.06,29.15
37,0.06,29.72
38,0.05,29.76
39,0.05,29.92
40,0.04,29.76
41,0.04,29.32
42,0.04,29.19
43,0.04,28.82
44,0.03,10.0
45,0.28,10.0
46,0.13,10.0
47,0.08,12.72
48,0.07,24.24
49,0.06,30.0
50,0.05,31.11
51,0.04,31.18
52,0.04,31.05
53,0.04,31.02
54,0.04,30.5
55,0.03,30.34
56,0.03,30.2
57,0.03,29.71
58,0.03,29.43
59,0.03,10.0
60,0.22,10.22
61,0.09,18.9
62,0.06,29.42
63,0.05,32.96
64,0.04,32.75
65,0.04,32.15
66,0.04,31.66
67,0.03,31.25
68,0.03,30.67
69,0.03,30.27
70,0.03,29.93
71,0.03,29.44
72,0.03,29.25
73,0.02,28.9
74,0.02,12.92
75,0.19,20.57
76,0.08,30.53
77,0.05,34.1
78,0.04,33.91
79,0.04,33.41
80,0.03,32.42
81,0.03,31.67
82,0.03,31.3
83,0.03,30.91
84,0.03,30.81
85,0.03,30.38
86,0.02,30.18
87,0.02,29.99
88,0.02,29.7
89,0.02,13.51
90,0.18,20.19
91,0.07,29.74
92,0.05,33.55
93,0.04,34.32
94,0.03,33.23
95,0.03,32.44
96,0.03,32.14
97,0.03,31.75
98,0.03,31.05
99,0.03,30.56
100,0.02,29.97
101,0.02,29.4
102,0.02,29.5
103,0.02,29.2
104,0.02,21.21
105,0.16,27.83
106,0.06,33.74
107,0.04,34.67
108,0.03,33.97
109,0.03,32.56
110,0.03,32.13
111,0.03,31.45
112,0.03,31.21
113,0.03,30.68
114,0.02,30.13
115,0.02,29.64
116,0.02,29.15
117,0.02,28.97
118,0.02,28.76
119,0.02,25.3
120,0.17,30.14
121,0.06,34.66
122,0.04,34.6
123,0.03,33.62
124,0.03,32.84
125,0.03,31.54
126,0.03,31.67
127,0.03,30.72
128,0.02,30.73
129,0.02,30.41
130,0.02,29.87
131,0.02,29.26
132,0.02,28.67
133,0.02,28.74
134,0.02,30.47
135,0.17,32.58
136,0.05,34.77
137,0.04,34.54
138,0.03,33.44
139,0.03,32.8
140,0.03,32.07
141,0.03,31.4
142,0.02,30.63
143,0.02,30.31
144,0.02,29.78
145,0.02,29.49
146,0.02,29.44
147,0.02,29.31
148,0.02,29.09
149,0.02,28.87
150,0.14,32.04
151,0.05,35.27
152,0.03,34.62
153,0.03,33.6
154,0.03,32.68
155,0.03,32.49
156,0.02,32.17
157,0.02,31.06
158,0.02,30.73
159,0.02,30.41
160,0.02,30.1
161,0.02,29.66
162,0.02,29.77
163,0.02,29.3
164,0.02,29.12
165,0.15,33.18
166,0.05,34.39
167,0.03,34.42
168,0.03,33.51
169,0.03,32.48
170,0.03,32.15
171,0.02,31.57
172,0.02,30.87
173,0.02,30.21
174,0.02,29.39
175,0.02,29.11
176,0.02,28.92
177,0.02,28.46
178,0.02,28.17
179,0.02,30.37
180,0.15,33.35
181,0.05,34.75
182,0.03,33.85
183,0.03,32.75
184,0.03,31.96
185,0.03,31.7
186,0.02,31.2
187,0.02,30.62
188,0.02,30.2
189,0.02,29.81
190,0.02,29.65
191,0.02,29.12
192,0.02,28.41
193,0.02,28.28
194,0.02,29.88
195,0.16,32.65
196,0.05,33.9
197,0.03,33.29
198,0.03,32.43
199,0.02,30.82
