Round,Train Loss,Accuracy
0,1.63,10.0
1,1.31,10.0
2,1.14,10.0
3,0.98,10.0
4,0.86,10.0
5,0.74,10.0
6,0.59,10.5
7,0.45,11.68
8,0.38,12.59
9,0.29,12.28
10,0.27,12.27
11,0.22,13.41
12,0.19,13.47
13,0.14,15.12
14,0.12,10.0
15,0.69,10.0
16,0.45,10.0
17,0.33,10.0
18,0.26,10.08
19,0.21,10.23
20,0.16,11.08
21,0.12,12.13
22,0.1,12.61
23,0.08,13.19
24,0.08,13.6
25,0.07,14.0
26,0.06,14.26
27,0.06,15.64
28,0.05,16.17
29,0.05,10.0
30,0.64,10.0
31,0.41,10.02
32,0.27,10.05
33,0.2,10.43
34,0.15,10.75
35,0.12,10.87
36,0.09,11.34
37,0.08,12.56
38,0.07,13.9
39,0.06,15.16
40,0.06,16.55
41,0.05,17.78
42,0.05,18.89
43,0.05,19.6
44,0.04,10.0
45,0.55,10.0
46,0.35,10.02
47,0.22,10.06
48,0.16,10.53
49,0.12,10.92
50,0.1,11.75
51,0.08,12.39
52,0.07,14.1
53,0.07,16.66
54,0.06,18.74
55,0.06,21.48
56,0.05,23.43
57,0.05,24.2
58,0.05,24.01
59,0.04,10.4
60,0.47,11.58
61,0.28,12.34
62,0.18,12.89
63,0.13,13.02
64,0.1,14.98
65,0.08,18.64
66,0.07,22.25
67,0.07,24.61
68,0.06,26.75
69,0.06,27.68
70,0.05,28.37
71,0.05,28.41
72,0.05,27.43
73,0.04,27.97
74,0.04,11.69
75,0.36,12.53
76,0.21,13.39
77,0.14,13.72
78,0.1,14.36
79,0.08,17.37
80,0.07,20.7
81,0.06,23.92
82,0.06,26.76
83,0.05,28.28
84,0.05,29.07
85,0.05,29.44
86,0.04,29.68
87,0.04,29.62
88,0.04,29.65
89,0.04,12.57
90,0.31,13.5
91,0.17,14.12
92,0.11,14.62
93,0.09,15.42
94,0.07,18.39
95,0.06,22.75
96,0.06,25.83
97,0.05,28.14
98,0.05,29.89
99,0.05,31.06
100,0.04,30.83
101,0.04,30.39
102,0.04,30.56
103,0.04,30.11
104,0.04,12.93
105,0.27,13.74
106,0.14,14.49
107,0.09,14.89
108,0.07,16.16
109,0.06,19.8
110,0.06,23.66
111,0.05,26.86
112,0.05,28.59
113,0.05,29.44
114,0.04,30.31
115,0.04,30.6
116,0.04,30.59
117,0.04,30.12
118,0.04,29.63
119,0.03,13.23
120,0.24,15.67
121,0.12,18.99
122,0.08,23.22
123,0.07,26.81
124,0.06,29.4
125,0.05,31.19
126,0.05,32.07
127,0.05,32.26
128,0.04,32.22
129,0.04,31.61
130,0.04,31.08
131,0.04,31.0
132,0.04,30.5
133,0.03,29.86
134,0.03,13.5
135,0.23,16.42
136,0.11,19.5
137,0.08,23.71
138,0.06,27.29
139,0.06,30.07
140,0.05,31.84
141,0.05,32.21
142,0.04,32.53
143,0.04,32.34
144,0.04,31.7
145,0.04,31.49
146,0.04,30.85
147,0.03,30.15
148,0.03,29.68
149,0.03,14.32
150,0.22,16.66
151,0.11,20.38
152,0.07,24.92
153,0.06,28.68
154,0.05,30.94
155,0.05,31.92
156,0.05,32.16
157,0.04,32.48
158,0.04,32.21
159,0.04,31.72
160,0.04,31.52
161,0.03,30.87
162,0.03,30.27
163,0.03,29.49
164,0.03,25.63
165,0.21,30.71
166,0.1,32.49
167,0.07,34.22
168,0.06,34.87
169,0.05,35.33
170,0.05,35.21
171,0.04,35.0
172,0.04,33.87
173,0.04,33.16
174,0.04,32.64
175,0.04,31.57
176,0.03,30.96
177,0.03,30.22
178,0.03,29.53
179,0.03,26.42
180,0.2,32.15
181,0.09,33.24
182,0.07,34.4
183,0.06,34.95
184,0.05,34.96
185,0.05,34.96
186,0.04,34.67
187,0.04,33.54
188,0.04,32.58
189,0.04,31.95
190,0.04,31.52
191,0.03,30.85
192,0.03,30.03
193,0.03,29.26
194,0.03,27.12
195,0.19,31.5
196,0.09,33.59
197,0.06,34.61
198,0.05,35.58
199,0.05,35.69
