Round,Train Loss,Accuracy
0,1.25,10.0
1,1.03,10.0
2,0.93,10.0
3,0.81,10.0
4,0.74,10.2
5,0.68,10.24
6,0.64,10.44
7,0.59,10.2
8,0.55,10.08
9,0.52,10.06
10,0.48,10.38
11,0.44,10.39
12,0.42,10.4
13,0.39,10.22
14,0.38,10.0
15,0.35,10.0
16,0.33,10.0
17,0.31,10.0
18,0.29,10.0
19,0.28,10.0
20,0.25,10.0
21,0.24,10.0
22,0.23,10.0
23,0.22,10.0
24,0.2,10.0
25,0.2,10.0
26,0.2,10.0
27,0.18,10.0
28,0.18,10.0
29,0.17,10.0
30,0.16,10.0
31,0.17,10.0
32,0.16,10.0
33,0.16,10.0
34,0.16,10.0
35,0.15,10.0
36,0.15,10.0
37,0.15,10.0
38,0.14,10.0
39,0.14,10.0
40,0.14,10.0
41,0.14,10.0
42,0.13,10.0
43,0.14,10.0
44,0.15,10.0
45,0.15,10.0
46,0.14,10.0
47,0.14,10.0
48,0.13,10.0
49,0.14,10.0
50,0.14,10.0
51,0.14,10.0
52,0.13,10.0
53,0.15,10.0
54,0.13,10.0
55,0.14,10.0
56,0.13,10.0
57,0.14,10.0
58,0.13,10.0
59,0.15,13.55
60,0.13,11.17
61,0.14,11.62
62,0.13,10.92
63,0.14,11.12
64,0.13,10.93
65,0.14,10.81
66,0.12,10.9
67,0.14,10.21
68,0.14,10.59
69,0.15,10.81
70,0.13,10.72
71,0.14,10.77
72,0.13,10.98
73,0.14,10.75
74,0.13,19.59
75,0.14,13.92
76,0.13,13.03
77,0.14,12.42
78,0.13,12.77
79,0.14,14.36
80,0.14,12.62
81,0.14,13.32
82,0.13,12.69
83,0.14,12.96
84,0.13,12.05
85,0.13,12.47
86,0.13,13.16
87,0.13,12.66
88,0.12,12.08
89,0.13,25.44
90,0.13,18.71
91,0.14,17.89
92,0.12,21.3
93,0.14,19.73
94,0.13,19.06
95,0.14,16.68
96,0.12,16.53
97,0.14,15.83
98,0.12,16.27
99,0.14,16.6
100,0.12,16.27
101,0.14,15.5
102,0.13,22.98
103,0.16,15.82
104,0.12,27.61
105,0.13,16.46
106,0.13,16.21
107,0.14,16.52
108,0.12,17.09
109,0.14,16.93
110,0.13,16.29
111,0.13,16.69
112,0.13,18.46
113,0.15,18.48
114,0.14,17.08
115,0.14,17.06
116,0.13,16.16
117,0.14,16.44
118,0.13,15.78
119,0.14,28.87
120,0.13,14.12
121,0.15,13.37
122,0.12,15.92
123,0.14,15.94
124,0.13,14.64
125,0.14,15.34
126,0.13,15.33
127,0.13,15.65
128,0.12,15.2
129,0.14,15.38
130,0.13,17.68
131,0.16,18.08
132,0.14,17.72
133,0.14,17.09
134,0.13,28.32
135,0.15,17.75
136,0.14,18.85
137,0.15,19.33
138,0.14,18.48
139,0.16,19.55
140,0.15,21.73
141,0.15,21.3
142,0.14,19.52
143,0.15,20.37
144,0.14,17.93
145,0.15,21.07
146,0.15,19.8
147,0.16,19.41
148,0.13,19.46
149,0.14,29.64
150,0.14,21.33
151,0.17,20.17
152,0.14,21.3
153,0.17,19.76
154,0.15,19.98
155,0.15,19.49
156,0.14,20.85
157,0.16,16.95
158,0.14,17.9
159,0.17,17.94
160,0.16,21.74
161,0.17,22.04
162,0.13,20.3
163,0.13,20.14
164,0.13,29.01
165,0.16,20.08
166,0.15,17.96
167,0.15,19.07
168,0.13,19.83
169,0.16,19.46
170,0.14,19.06
171,0.15,20.45
172,0.14,20.94
173,0.16,21.22
174,0.14,18.43
175,0.16,18.69
176,0.14,20.06
177,0.17,17.91
178,0.14,19.28
179,0.15,27.59
180,0.14,18.74
181,0.15,17.28
182,0.13,22.4
183,0.17,20.51
184,0.15,19.04
185,0.17,19.62
186,0.15,17.79
187,0.17,17.72
188,0.14,18.61
189,0.17,21.96
190,0.14,22.15
191,0.16,18.17
192,0.13,15.57
193,0.16,17.84
194,0.13,29.05
195,0.16,17.08
196,0.14,17.99
197,0.15,18.59
198,0.14,19.0
199,0.17,19.3
