Round,Train Loss,Accuracy
0,1.11,10.0
1,0.93,10.01
2,0.8,9.89
3,0.69,10.99
4,0.62,12.0
5,0.57,12.65
6,0.53,12.62
7,0.49,12.18
8,0.46,13.03
9,0.43,11.75
10,0.39,12.08
11,0.37,11.57
12,0.34,11.74
13,0.32,11.89
14,0.3,10.0
15,0.28,9.99
16,0.27,10.02
17,0.25,9.98
18,0.23,10.04
19,0.22,10.06
20,0.21,10.01
21,0.19,10.02
22,0.19,9.99
23,0.18,10.0
24,0.17,10.0
25,0.16,10.0
26,0.16,10.0
27,0.15,10.0
28,0.14,10.0
29,0.14,12.93
30,0.13,10.0
31,0.13,10.0
32,0.13,10.0
33,0.13,10.0
34,0.13,10.0
35,0.12,10.0
36,0.12,10.01
37,0.12,10.03
38,0.12,10.04
39,0.12,10.06
40,0.12,10.08
41,0.11,10.13
42,0.11,10.24
43,0.11,10.47
44,0.11,14.34
45,0.11,14.22
46,0.11,14.34
47,0.11,14.55
48,0.1,14.31
49,0.1,14.03
50,0.1,14.92
51,0.1,14.55
52,0.1,14.75
53,0.1,15.25
54,0.1,15.64
55,0.1,15.88
56,0.1,15.94
57,0.1,16.67
58,0.1,16.08
59,0.1,26.03
60,0.1,28.92
61,0.09,30.31
62,0.09,29.93
63,0.09,29.91
64,0.09,29.67
65,0.09,29.12
66,0.09,28.57
67,0.09,27.92
68,0.08,28.57
69,0.09,28.2
70,0.08,27.96
71,0.08,28.78
72,0.08,28.4
73,0.08,28.55
74,0.08,36.71
75,0.08,33.67
76,0.08,34.48
77,0.08,33.93
78,0.08,34.22
79,0.08,32.87
80,0.08,32.82
81,0.08,33.42
82,0.08,33.6
83,0.08,33.52
84,0.08,33.25
85,0.08,33.91
86,0.08,33.56
87,0.08,33.76
88,0.08,32.66
89,0.08,38.96
90,0.07,29.75
91,0.07,29.72
92,0.08,28.79
93,0.07,29.27
94,0.07,29.52
95,0.07,29.09
96,0.07,28.73
97,0.07,28.99
98,0.07,28.75
99,0.07,27.56
100,0.08,28.24
101,0.07,28.78
102,0.07,30.63
103,0.07,30.03
104,0.07,39.05
105,0.07,26.07
106,0.07,25.22
107,0.07,25.1
108,0.07,25.38
109,0.07,25.29
110,0.07,24.84
111,0.07,24.58
112,0.07,24.73
113,0.07,24.18
114,0.07,24.08
115,0.07,23.95
116,0.07,23.74
117,0.07,23.14
118,0.07,23.37
119,0.07,37.93
120,0.07,22.58
121,0.07,22.28
122,0.07,21.56
123,0.07,22.2
124,0.07,22.71
125,0.07,22.57
126,0.07,21.52
127,0.07,20.8
128,0.07,20.52
129,0.07,19.96
130,0.07,20.73
131,0.07,21.13
132,0.07,24.08
133,0.07,24.73
134,0.07,38.46
135,0.06,22.9
136,0.06,22.29
137,0.07,22.06
138,0.06,22.67
139,0.06,22.26
140,0.07,22.35
141,0.06,21.14
142,0.07,21.01
143,0.07,21.32
144,0.07,20.7
145,0.06,20.21
146,0.07,20.12
147,0.06,20.02
148,0.06,19.13
149,0.06,37.4
150,0.06,19.35
151,0.07,19.54
152,0.07,19.35
153,0.07,20.76
154,0.07,20.21
155,0.06,19.37
156,0.07,18.94
157,0.06,20.64
158,0.06,21.2
159,0.06,15.74
160,0.06,15.86
161,0.06,15.79
162,0.06,15.93
163,0.06,16.78
164,0.06,37.05
165,0.06,17.27
166,0.07,17.03
167,0.06,16.7
168,0.06,17.58
169,0.06,17.39
170,0.06,16.62
171,0.06,18.09
172,0.06,18.49
173,0.06,19.27
174,0.07,18.79
175,0.06,18.18
176,0.06,17.65
177,0.07,18.26
178,0.07,18.42
179,0.06,36.3
180,0.06,17.83
181,0.06,17.96
182,0.06,18.38
183,0.06,17.84
184,0.06,18.62
185,0.06,18.35
186,0.06,17.86
187,0.06,20.42
188,0.06,19.17
189,0.06,18.11
190,0.06,17.94
191,0.06,17.44
192,0.06,17.1
193,0.06,20.54
194,0.06,37.0
195,0.07,19.1
196,0.06,18.16
197,0.06,17.59
198,0.06,17.37
199,0.06,17.23
